week,price,prediction,posts,absolute_diff,market_change,prediction_change,error_general,market_weekly_change,prediction_weekly_change,error_weekly
261,1.1000000085914508e-05,1.2217669643252097e-05,66943,1.2176695573375899e-06,0.0,0.0,0.0,0.0,0.0,0.0
262,1.1000000085914508e-05,1.2039403315951799e-05,60761,1.0394032300372913e-06,0.0,-0.014590861637739263,0.014590861637739263,0.0,-0.014590861637739263,0.014590861637739263
263,9.999999747378752e-06,1.1922723592815828e-05,58927,1.922723845437077e-06,-0.09090912097503123,-0.02414094168925001,0.06676817928578122,-0.09090912097503123,-0.009691487200314458,0.08121763377471677
264,9.999999747378752e-06,1.176765217243023e-05,52471,1.767652425051479e-06,-0.09090912097503123,-0.03683333106574988,0.05407578990928135,0.0,-0.013006375529752102,0.013006375529752102
265,9.000000318337698e-06,1.172233504344327e-05,49590,2.7223347251055723e-06,-0.18181815926872658,-0.04054247776149392,0.14127568150723266,-0.09999994543031651,-0.003850991542147356,0.09614895388816916
266,9.000000318337698e-06,1.1388154892865627e-05,46880,2.3881545745279294e-06,-0.18181815926872658,-0.06789467833128203,0.11392348093744455,0.0,-0.028507984914196944,0.028507984914196944
267,9.000000318337698e-06,1.1011896817758826e-05,44921,2.011896499421128e-06,-0.18181815926872658,-0.09869090102294821,0.08312725824577837,0.0,-0.03303942373865294,0.03303942373865294
268,9.000000318337698e-06,1.0698589520455892e-05,43735,1.6985892021181947e-06,-0.18181815926872658,-0.12433468633154633,0.057483472937180244,0.0,-0.028451710226494717,0.028451710226494717
269,9.999999747378752e-06,1.0376857144660242e-05,41288,3.768573972814903e-07,-0.09090912097503123,-0.15066805310197176,0.05975893212694053,0.11111104374113559,-0.030072410496775514,0.1411834542379111
270,1.1000000085914508e-05,1.0261935188328479e-05,39618,7.380648975860289e-07,0.0,-0.16007426227994176,0.16007426227994176,0.10000003637978899,-0.01107483265209064,0.11107486903187963
271,3.600000127335079e-05,1.0008806805676748e-05,38457,2.5991194467674042e-05,2.2727273629250937,-0.18079248351548935,2.453519846440583,2.2727273629250937,-0.024666729813264572,2.2973940927383585
272,3.199999991920777e-05,9.656772989411529e-06,36825,2.2343226929796236e-05,1.9090908790249688,-0.2096059828606488,2.1186968618856175,-0.11111114479609888,-0.03517240597206391,0.07593873882403496
273,2.499999936844688e-05,9.45485071381114e-06,35900,1.554514865463574e-05,1.272727197562422,-0.2261330523834291,1.498860249945851,-0.21875001776356845,-0.02090991222655786,0.1978401055370106
274,3.099999958067201e-05,9.24038613728799e-06,34584,2.175961344338402e-05,1.8181817580499375,-0.24368669254439052,2.061868450594328,0.2400000145519156,-0.022683020918550394,0.262683035470466
275,2.5999999706982635e-05,9.113936295001612e-06,33909,1.6886063411981023e-05,1.3636363185374532,-0.2540364438454676,1.6176727623829208,-0.1612903206878362,-0.013684475995663357,0.14760584469217283
276,2.700000004551839e-05,9.197746851677762e-06,33276,1.780225319384063e-05,1.4545454395124844,-0.24717666132364774,1.701722100836132,0.03846155191560225,0.009195868169729712,0.029265683745872538
277,2.300000051036477e-05,9.20726980294232e-06,32286,1.379273070742245e-05,1.0909091209750312,-0.2463972204365864,1.3373063414116175,-0.14814813068185761,0.0010353569649311867,0.1491834876467888
