Ticker,Correct_General,Total_General,Correct_Weekly,Total_Weekly,Average_General_Error,Average_Weekly_Error,Performance_General,Performance_Weekly
BDX,7,24,18,24,0.015085736666233,0.0158511677869332,0.2916666666666667,0.75
PWR,20,24,18,24,0.037944917695624,0.0199755544830371,0.8333333333333334,0.75
TT,19,24,18,24,0.1308685038080164,0.0212626397232348,0.7916666666666666,0.75
NTRS,12,24,18,24,0.0845106861346396,0.0162378395667403,0.5,0.75
STLD,11,24,17,24,0.053599201435495,0.0234809736975011,0.4583333333333333,0.7083333333333334
DTE,17,24,17,24,0.0320016341768806,0.0130778068272333,0.7083333333333334,0.7083333333333334
ODFL,18,24,17,24,0.0366664003343669,0.0263616418778344,0.75,0.7083333333333334
PODD,24,24,17,24,0.1327129050799838,0.0427451012028383,1.0,0.7083333333333334
ESS,17,24,17,24,0.0355234874524493,0.0208677816663428,0.7083333333333334,0.7083333333333334
EVRG,17,24,17,24,0.0449770548533277,0.0244620394897792,0.7083333333333334,0.7083333333333334
WEC,14,24,17,24,0.024292216817207,0.0159379250084271,0.5833333333333334,0.7083333333333334
ETN,22,24,17,24,0.1768135305488156,0.0143479060523834,0.9166666666666666,0.7083333333333334
PNC,14,24,17,24,0.0419683458686749,0.0168264525660601,0.5833333333333334,0.7083333333333334
NTAP,17,24,16,23,0.1391659146999982,0.0287268440563036,0.7083333333333334,0.6956521739130435
HPQ,18,24,16,24,0.0417323982874913,0.0216062570165379,0.75,0.6666666666666666
IQV,13,24,16,24,0.1269703407638432,0.0213774771161834,0.5416666666666666,0.6666666666666666
BEN,17,24,16,24,0.050658065592118,0.0220924502584966,0.7083333333333334,0.6666666666666666
BTC-USD,20,24,16,24,0.3477291728621775,0.0604022393523511,0.8333333333333334,0.6666666666666666
HAS,19,24,16,24,0.0907928699989502,0.0182181243757543,0.7916666666666666,0.6666666666666666
ADP,19,24,16,24,0.0413193682787243,0.0120966662262741,0.7916666666666666,0.6666666666666666
TDG,22,24,16,24,0.1267615872262542,0.0221420234712931,0.9166666666666666,0.6666666666666666
ENPH,23,24,16,24,0.0841038326949472,0.0554403318248808,0.9583333333333334,0.6666666666666666
ORCL,22,24,16,24,0.0766298101087991,0.0277172187707705,0.9166666666666666,0.6666666666666666
CF,17,24,16,24,0.6763243997620272,0.0872939167508136,0.7083333333333334,0.6666666666666666
APA,15,24,16,24,0.1055633111973322,0.0297927576873813,0.625,0.6666666666666666
TAP,10,24,15,23,0.041786857853578,0.0161162556327861,0.4166666666666667,0.6521739130434783
NWSA,15,24,15,23,0.0681597423864303,0.014687944009948,0.625,0.6521739130434783
SCHW,17,24,15,24,0.0436987116223361,0.0131242340392382,0.7083333333333334,0.625
CTRA,12,24,15,24,0.0326965987659865,0.016263937525736,0.5,0.625
SYK,18,24,15,24,0.0785445380847836,0.0116657257077154,0.75,0.625
